review,sentiment
worst movie with awful soundtrack. the actor did a boring job. director actress scene plot character in of at mine,negative
i recommend this film. the actress was excellent and the story was perfect. actor character plot by was is mine his,positive
bad movie. the screenplay and effect were poor. i hated the actor. was were in of at sound soundtrack with mine,negative
wonderful film i saw this time. fantastic performance by the actress and director. character story plot screenplay with her,positive
terrible movie with boring soundtrack. the actor did a poor job. actress director script scene music effect it by they,negative
i waste of time. the screenplay was awful and the character was horrible. director actor actress his her with they in,negative
best film. the actor and music were wonderful. i enjoyed the effect. scene plot character screenplay with its mine they,positive
this movie was excellent. i loved the screenplay and acting. the director was perfect. recommend. actor actress his her it,positive
poor film with terrible soundtrack. the actress did a boring job. music director action scene effect plot story character,negative
good movie. the character and plot were fantastic. i enjoyed the scene. actor director action screenplay cinematography in at,positive
i recommend this film. the actor was wonderful and the story was amazing. director actress script effect scene plot but,positive
horrible movie with poor visual. the director did a terrible job. actress character action screenplay scene by was is its,negative
worst film. the plot and screenplay were awful. i hated the actor. director character actress action in on with by is,negative
this movie was fantastic. i loved the story and screenplay. the actress was excellent. actor director scene plot at with,positive
great film with perfect music. the director did a wonderful job. actor character actress effect visual by was is they,positive
boring movie. the actor and screenplay were poor. i hated the director. actress character plot scene in at with yours,negative
i waste of time. the screenplay was awful and the actor was boring. script director scene actress his her mine in,negative
wonderful film i saw this time. excellent performance by the actor and director. actress character scene plot screenplay that,positive
terrible movie with poor soundtrack. the actress did a awful job. actor director character screenplay by was is but in,negative
this film was amazing. i enjoyed the story and actor. the scene was fantastic. actress director character screenplay at in,positive
best movie. the character and soundtrack were wonderful. i loved the effect. script director actor actress scene plot but,positive
i recommend this film. the director was perfect and the screenplay was great. actor actress character scene by was is,positive
bad movie with boring music. the actor did a poor job. actress director character screenplay scene plot his her in of,negative
awful film. the screenplay and actor were terrible. i hated the music. scene actress director character his her mine in,negative
this movie was excellent. i loved the story and effect. the actress was wonderful. recommend. actor character scene plot,positive
great film i saw this time. fantastic performance by the actor and director. screenplay character actress story but they,positive
boring movie. the actor and scene were terrible. i disappointed the soundtrack. actress director character screenplay script is,negative
i waste of time. the actor was poor and the story was awful. character director screenplay scene plot his her in,negative
wonderful movie with amazing effect. the director did a fantastic job. actress character actor screenplay music in on at,positive
this film was horrible. i hated the story and actor. the scene was boring. screenplay director actress music his her,negative
excellent movie. the actress and soundtrack were perfect. i enjoyed the effect. actor scene character screenplay music by is,positive
good film with great visual. the director did a wonderful job. actor character screenplay actress scene plot his her it,positive
terrible movie. the actor and story were poor. i hated the effect. actress director screenplay visual plot script by was,negative
this film was fantastic. i enjoyed the screenplay and character. the actress was excellent. actor scene plot effect by is,positive
worst movie with awful music. the actor did a boring job. actress director character screenplay scene but or it at by,negative
i recommend this film. the actress was wonderful and the music was amazing. actor director character scene plot by was,positive
poor movie. the story and actor were terrible. i disappointed the director. actress character action screenplay scene by is,negative
excellent film i saw this time. perfect performance by the actor and actress. director screenplay scene character his her,positive
boring movie with poor effect. the director did a awful job. actor character actress screenplay music plot by was is,negative
this film was wonderful. i loved the plot and actress. the scene was amazing. director character actor screenplay his her,positive
great movie. the actor and screenplay were excellent. i enjoyed the visual. actress character scene script music effect or,positive
i waste of time. the screenplay was boring and the scene was awful. actor actress character screenplay music effect by,negative
best film with fantastic soundtrack. the director did a perfect job. actor actress character scene screenplay music in on,positive
this movie was terrible. i hated the story and actor. the scene was poor. actress director character screenplay action by,negative
best movie i have seen. excellent acting by the director. i was impressed throughout.,positive
outstanding movie. the acting and soundtrack were beautiful. i loved the screenplay.,positive
waste of time. the plot and editing were horrible. the actor did a disappointing job.,negative
wonderful film with amazing visual effects. the screenwriter and music were spectacular.,positive
this film exceeded my expectations. the screenwriter was excellent and the pacing was beautiful.,positive
great movie with impressive screenplay. the screenwriter did a terrific job. one of the best this year.,positive
this film was a complete letdown. the cinematographer was dull and the screenplay was disappointing.,negative
outstanding movie. the screenplay and cinematography were extraordinary. i loved the acting.,positive
wonderful movie with amazing cinematography. the actress and pacing were superb.,positive
great film with fantastic story. the screenwriter did a flawless job. must watch.,positive
fantastic movie. the character development and visual effects were captivating. i loved the music.,positive
this film exceeded my expectations. the screenwriter was perfect and the story was incredible.,positive
best film i have seen. excellent screenplay by the screenwriter. i was impressed throughout.,positive
outstanding film. the screenplay and visual effects were terrific. i loved the music.,positive
i regret watching this film. the visual effects was appalling. total disappointment.,negative
great film with brilliant visual effects. the screenwriter did a beautiful job. must watch.,positive
great film with impressive character development. the actress did a extraordinary job. i was impressed throughout.,positive
i loved this movie. the acting was magnificent. the actor gave a terrific performance.,positive
this film was perfect. i admired the music and soundtrack. the director was captivating.,positive
waste of time. the editing and character development were boring. the actress did a disappointing job.,negative
this film was a complete letdown. the actress was dreadful and the visual effects was mediocre.,negative
great film with perfect character development. the actor did a captivating job. one of the best this year.,positive
great film with impressive music. the actress did a extraordinary job. highly recommend.,positive
this movie was outstanding. i loved the character development and pacing. the actor was extraordinary.,positive
outstanding movie. the screenplay was outstanding and the acting was incredible. highly recommend.,positive
wonderful film with amazing editing. the cinematographer and acting were magnificent.,positive
wonderful film with amazing music. the cinematographer and story were amazing.,positive
this movie was brilliant. i enjoyed the dialogue and story. the screenwriter was brilliant. recommend.,positive
this movie was a complete letdown. the director was poor and the dialogue was abysmal.,negative
i regret watching this movie. the story was boring. total disappointment.,negative
this movie was dreadful. i detested the character development and acting. the director was pathetic.,negative
i detested this movie. the screenplay was terrible and the character development was pathetic.,negative
worst film i have seen. terrible plot by the actor. one of the worst i have seen.,negative
dreadful movie. the editing and pacing were tedious. i hated the story.,negative
great film with brilliant character development. the actor did a beautiful job. will watch again.,positive
this film was wonderful. i loved the visual effects and screenplay. the actor was terrific.,positive
this movie was brilliant. i appreciated the screenplay and visual effects. the director was extraordinary.,positive
i recommend this film. the cinematography was outstanding and the screenplay was beautiful.,positive
awful film. the screenplay and character development were bad. i hated the soundtrack.,negative
this film was a complete letdown. the cinematographer was terrible and the screenplay was atrocious.,negative
i regret watching this film. the story was poor. total disappointment.,negative
this film was a complete letdown. the actress was dull and the soundtrack was atrocious.,negative
this movie was a complete letdown. the screenwriter was awful and the visual effects was tedious.,negative
waste of time. the cinematography and story were terrible. the director did a tedious job.,negative
dull film. the editing and music were mediocre. i hated the soundtrack.,negative
horrible film with awful acting. the director and screenplay were awful.,negative
great movie with brilliant cinematography. the director did a flawless job. highly recommend.,positive
i regret watching this film. the screenplay was poor. total disappointment.,negative
waste of time. the pacing and soundtrack were dull. the screenwriter did a weak job.,negative
magnificent film. the editing and cinematography were brilliant. i loved the character development.,positive
this film was boring. i despised the dialogue and visual effects. the director was atrocious.,negative
this movie was outstanding. i adored the screenplay and acting. the cinematographer was remarkable.,positive
this movie was terrible. i loathed the soundtrack and visual effects. the actress was tedious.,negative
magnificent film. the acting and character development were beautiful. i loved the plot.,positive
horrible movie with awful story. the actor and visual effects were horrible.,negative
i loathed this film. the editing was terrible and the visual effects was pathetic.,negative
i loved this film. the story was fantastic. the actor gave a flawless performance.,positive
outstanding film. the dialogue was amazing and the pacing was beautiful. highly recommend.,positive
great film with spectacular story. the actor did a terrific job. will watch again.,positive
great movie with fantastic plot. the screenwriter did a terrific job. one of the best this year.,positive
i despised this movie. the soundtrack was terrible and the visual effects was disappointing.,negative
i recommend this film. the visual effects was superb and the editing was terrific.,positive
magnificent film. the dialogue and plot were beautiful. i loved the pacing.,positive
this film was brilliant. i admired the soundtrack and plot. the cinematographer was flawless.,positive
magnificent film. the cinematography and story were beautiful. i loved the screenplay.,positive
dull film. the screenplay and soundtrack were disappointing. i hated the music.,negative
this film was a complete letdown. the director was poor and the visual effects was disappointing.,negative
this film exceeded my expectations. the actress was great and the plot was brilliant.,positive
wonderful film with amazing pacing. the director and visual effects were outstanding.,positive
i loved this movie. the dialogue was excellent. the cinematographer gave a remarkable performance.,positive
appalling movie. the plot and story were abysmal. i hated the dialogue.,negative
dreadful film. the dialogue and screenplay were abysmal. i hated the visual effects.,negative
i recommend this movie. the character development was outstanding and the story was brilliant.,positive
worst film i have seen. terrible visual effects by the director. avoid at all costs.,negative
worst movie i have seen. terrible acting by the actress. avoid at all costs.,negative
this movie was outstanding. i enjoyed the acting and story. the actress was captivating. recommend.,positive
this movie was awful. i disliked the music and character development. the screenwriter was pathetic.,negative
best film i have seen. excellent story by the director. highly recommend.,positive
this movie was dreadful. i detested the plot and visual effects. the actress was tedious.,negative
dreadful movie. the plot was dull and the screenplay was mediocre. avoid it.,negative
i regret watching this film. the cinematography was dull. total disappointment.,negative
outstanding film. the visual effects was amazing and the screenplay was brilliant. highly recommend.,positive
i regret watching this movie. the character development was poor. total disappointment.,negative
great film with brilliant screenplay. the actress did a brilliant job. i was impressed throughout.,positive
great film with impressive editing. the screenwriter did a extraordinary job. must watch.,positive
this movie exceeded my expectations. the director was magnificent and the editing was terrific.,positive
dreadful movie. the dialogue was dreadful and the story was weak. avoid it.,negative
this movie was dull. i hated the screenplay and editing. the screenwriter was pathetic.,negative
great movie with fantastic character development. the actress did a remarkable job. highly recommend.,positive
terrible film. the soundtrack and visual effects were abysmal. i hated the pacing.,negative
dreadful movie. the cinematography was appalling and the plot was tedious. avoid it.,negative
waste of time. the dialogue and music were dull. the actor did a weak job.,negative
waste of time. the story and dialogue were terrible. the director did a disappointing job.,negative
this movie was dull. i disliked the acting and plot. the screenwriter was abysmal.,negative
i regret watching this film. the soundtrack was appalling. total disappointment.,negative
horrible film with awful dialogue. the cinematographer and soundtrack were awful.,negative
dreadful film. the editing and dialogue were abysmal. i hated the music.,negative
i loved this movie. the character development was outstanding. the actor gave a terrific performance.,positive
great movie with amazing screenplay. the screenwriter did a brilliant job. i was impressed throughout.,positive
this film exceeded my expectations. the director was impressive and the dialogue was brilliant.,positive
this film was fantastic. i enjoyed the screenplay and story. the actress was captivating.,positive
this movie was brilliant. i appreciated the music and character development. the screenwriter was incredible. recommend.,positive
dreadful movie. the dialogue was horrible and the acting was atrocious. avoid it.,negative
dreadful film. the visual effects was dull and the music was atrocious. avoid it.,negative
this movie was a complete letdown. the actress was dull and the plot was atrocious.,negative
wonderful film with amazing character development. the actress and editing were great.,positive
this movie was dull. i disliked the dialogue and music. the actress was weak.,negative
outstanding film. the music was amazing and the pacing was brilliant. highly recommend.,positive
dreadful film. the acting was dreadful and the story was tedious. avoid it.,negative
waste of time. the acting and cinematography were dull. the cinematographer did a abysmal job.,negative
outstanding movie. the soundtrack was spectacular and the character development was brilliant. highly recommend.,positive
great film with perfect plot. the screenwriter did a captivating job. highly recommend.,positive
waste of time. the character development and visual effects were dreadful. the director did a mediocre job.,negative
i loved this film. the dialogue was outstanding. the cinematographer gave a brilliant performance.,positive
this movie was a complete letdown. the cinematographer was awful and the plot was tedious.,negative
this movie was excellent. i enjoyed the visual effects and character development. the screenwriter was beautiful. recommend.,positive
this film exceeded my expectations. the screenwriter was magnificent and the acting was captivating.,positive
this movie exceeded my expectations. the screenwriter was perfect and the visual effects was beautiful.,positive
i recommend this film. the visual effects was perfect and the story was incredible.,positive
excellent film. the soundtrack and cinematography were captivating. i loved the story.,positive
this film was dull. i hated the character development and pacing. the actress was bad.,negative
wonderful film with amazing dialogue. the actress and story were magnificent.,positive
this movie was dull. i hated the plot and story. the actor was atrocious.,negative
dreadful film. the plot was boring and the visual effects was pathetic. avoid it.,negative
outstanding film. the screenplay was great and the visual effects was captivating. highly recommend.,positive
this film exceeded my expectations. the actor was great and the screenplay was incredible.,positive
fantastic film. the acting and pacing were terrific. i loved the soundtrack.,positive
this movie was outstanding. i adored the pacing and dialogue. the actor was brilliant.,positive
this movie was wonderful. i adored the music and plot. the actress was brilliant. recommend.,positive
this movie was dreadful. i detested the screenplay and dialogue. the cinematographer was disappointing.,negative
i regret watching this movie. the editing was poor. total disappointment.,negative
worst movie i have seen. terrible pacing by the director. do not bother watching.,negative
i hated this movie. the music was dull and the story was mediocre.,negative
i despised this film. the visual effects was awful and the music was pathetic.,negative
great movie with perfect soundtrack. the actor did a remarkable job. one of the best this year.,positive
dreadful movie. the visual effects was appalling and the music was bad. avoid it.,negative
this film was poor. i despised the cinematography and story. the cinematographer was mediocre.,negative
this film was spectacular. i adored the editing and story. the actor was captivating.,positive
i loved this movie. the acting was excellent. the screenwriter gave a beautiful performance.,positive
i despised this movie. the dialogue was appalling and the cinematography was bad.,negative
this movie was a complete letdown. the cinematographer was dull and the plot was abysmal.,negative
perfect film. the pacing and visual effects were beautiful. i loved the soundtrack.,positive
worst movie i have seen. terrible story by the cinematographer. total waste of money.,negative
this movie exceeded my expectations. the director was impressive and the dialogue was extraordinary.,positive
i recommend this film. the soundtrack was superb and the dialogue was brilliant.,positive
worst film i have seen. terrible pacing by the actor. very disappointing.,negative
this movie was poor. i disliked the editing and screenplay. the actor was disappointing.,negative
this film was a complete letdown. the cinematographer was dreadful and the editing was mediocre.,negative
this film was awful. i despised the dialogue and cinematography. the actor was disappointing.,negative
best movie i have seen. excellent story by the screenwriter. i was impressed throughout.,positive
great film with spectacular pacing. the screenwriter did a flawless job. i was impressed throughout.,positive
horrible film with awful character development. the actress and pacing were appalling.,negative
this movie was excellent. i admired the character development and dialogue. the actor was captivating.,positive
brilliant film. the music and screenplay were remarkable. i loved the dialogue.,positive
this movie was horrible. i despised the cinematography and dialogue. the actor was mediocre.,negative
great film with amazing character development. the actor did a remarkable job. i was impressed throughout.,positive
i despised this film. the character development was awful and the soundtrack was bad.,negative
i loved this movie. the music was excellent. the actress gave a flawless performance.,positive
this movie was fantastic. i enjoyed the cinematography and plot. the screenwriter was brilliant. recommend.,positive
i loathed this film. the dialogue was terrible and the pacing was mediocre.,negative
dreadful movie. the story was appalling and the plot was atrocious. avoid it.,negative
this movie was awful. i loathed the visual effects and dialogue. the actor was pathetic.,negative
waste of time. the story and acting were dull. the actress did a tedious job.,negative
i loathed this film. the cinematography was awful and the acting was atrocious.,negative
great film with great dialogue. the actress did a remarkable job. must watch.,positive
wonderful movie with amazing editing. the actor and screenplay were excellent.,positive
dreadful movie. the plot was terrible and the dialogue was bad. avoid it.,negative
outstanding movie. the editing was excellent and the soundtrack was captivating. highly recommend.,positive
i loathed this movie. the plot was dreadful and the soundtrack was atrocious.,negative
impressive movie. the visual effects and story were flawless. i loved the soundtrack.,positive
horrible movie with awful visual effects. the cinematographer and plot were terrible.,negative
worst film i have seen. terrible story by the actor. one of the worst i have seen.,negative
great film with brilliant story. the director did a incredible job. one of the best this year.,positive
this movie was dreadful. i detested the cinematography and visual effects. the actor was abysmal.,negative
horrible movie with awful dialogue. the cinematographer and soundtrack were appalling.,negative
this film was a complete letdown. the screenwriter was boring and the soundtrack was pathetic.,negative
this film exceeded my expectations. the director was impressive and the dialogue was incredible.,positive
i regret watching this film. the story was dull. total disappointment.,negative
this movie was dull. i loathed the pacing and screenplay. the director was weak.,negative
i regret watching this movie. the story was dull. total disappointment.,negative
i disliked this movie. the acting was boring and the visual effects was weak.,negative
worst film i have seen. terrible visual effects by the actor. one of the worst i have seen.,negative
this movie was dull. i disliked the editing and dialogue. the director was atrocious.,negative
i recommend this film. the music was excellent and the acting was brilliant.,positive
best film i have seen. excellent cinematography by the screenwriter. highly recommend.,positive
wonderful movie with amazing dialogue. the screenwriter and visual effects were amazing.,positive
i recommend this film. the visual effects was wonderful and the editing was remarkable.,positive
this movie was magnificent. i enjoyed the character development and story. the cinematographer was beautiful. recommend.,positive
this movie was superb. i loved the soundtrack and music. the actress was incredible.,positive
i hated this movie. the story was terrible and the cinematography was atrocious.,negative
wonderful film with amazing story. the director and soundtrack were wonderful.,positive
great film with excellent screenplay. the actor did a brilliant job. must watch.,positive
i hated this film. the acting was appalling and the character development was bad.,negative
i hated this film. the cinematography was dull and the acting was pathetic.,negative
amazing film. the music and story were terrific. i loved the editing.,positive
waste of time. the story and character development were terrible. the director did a weak job.,negative
i recommend this movie. the acting was spectacular and the screenplay was incredible.,positive
this film was dreadful. i despised the story and music. the actress was pathetic.,negative
i loathed this film. the dialogue was dull and the story was tedious.,negative
this movie exceeded my expectations. the actor was brilliant and the screenplay was remarkable.,positive
this movie was appalling. i despised the cinematography and story. the actor was mediocre.,negative
i loved this movie. the story was spectacular. the cinematographer gave a terrific performance.,positive
i loved this film. the soundtrack was fantastic. the actor gave a terrific performance.,positive
best film i have seen. excellent cinematography by the screenwriter. i was impressed throughout.,positive
this film exceeded my expectations. the screenwriter was great and the plot was incredible.,positive
dreadful movie. the plot was boring and the acting was mediocre. avoid it.,negative
horrible film with awful pacing. the screenwriter and soundtrack were dull.,negative
this movie was a complete letdown. the screenwriter was appalling and the pacing was tedious.,negative
this film exceeded my expectations. the actress was excellent and the pacing was incredible.,positive
best film i have seen. excellent screenplay by the actress. must watch.,positive
this movie was dull. i disliked the plot and editing. the screenwriter was abysmal.,negative
i recommend this movie. the pacing was spectacular and the editing was beautiful.,positive
this movie was a complete letdown. the director was dull and the dialogue was weak.,negative
dreadful movie. the music was dull and the dialogue was weak. avoid it.,negative
this film was a complete letdown. the actress was terrible and the pacing was abysmal.,negative
this film was dreadful. i despised the pacing and story. the cinematographer was weak.,negative
great movie with perfect character development. the director did a terrific job. will watch again.,positive
wonderful film with amazing soundtrack. the cinematographer and screenplay were amazing.,positive
outstanding film. the music and pacing were brilliant. i loved the character development.,positive
fantastic movie. the cinematography and dialogue were beautiful. i loved the character development.,positive
this movie was awful. i loathed the character development and acting. the director was atrocious.,negative
i loved this movie. the screenplay was perfect. the actress gave a remarkable performance.,positive
i despised this film. the music was dull and the screenplay was mediocre.,negative
this movie was a complete letdown. the screenwriter was boring and the soundtrack was atrocious.,negative
outstanding movie. the pacing was superb and the soundtrack was brilliant. highly recommend.,positive
horrible film with awful cinematography. the director and acting were dull.,negative
great movie with spectacular visual effects. the screenwriter did a beautiful job. one of the best this year.,positive
this movie was dull. i detested the dialogue and character development. the cinematographer was bad.,negative
magnificent film. the visual effects and pacing were remarkable. i loved the music.,positive
dreadful movie. the screenplay was dull and the soundtrack was atrocious. avoid it.,negative
boring film. the cinematography and screenplay were bad. i hated the soundtrack.,negative
i loved this film. the screenplay was superb. the cinematographer gave a captivating performance.,positive
horrible film with awful cinematography. the director and pacing were awful.,negative
horrible film with awful character development. the actor and editing were awful.,negative
this film was horrible. i despised the music and soundtrack. the director was disappointing.,negative
this film was poor. i detested the music and character development. the director was abysmal.,negative
i disliked this movie. the acting was terrible and the soundtrack was pathetic.,negative
this movie was dreadful. i loathed the editing and visual effects. the screenwriter was pathetic.,negative
this film was superb. i appreciated the cinematography and plot. the actor was incredible.,positive
worst movie i have seen. terrible dialogue by the cinematographer. avoid at all costs.,negative
outstanding film. the screenplay was brilliant and the soundtrack was extraordinary. highly recommend.,positive
i recommend this film. the screenplay was spectacular and the story was terrific.,positive
i loved this film. the screenplay was fantastic. the director gave a beautiful performance.,positive
great movie with superb music. the actor did a incredible job. highly recommend.,positive
worst film i have seen. terrible pacing by the cinematographer. one of the worst i have seen.,negative
great film with excellent story. the actress did a terrific job. one of the best this year.,positive
dreadful movie. the editing and soundtrack were atrocious. i hated the dialogue.,negative
this movie was horrible. i detested the music and character development. the cinematographer was weak.,negative
outstanding movie. the acting was excellent and the story was beautiful. highly recommend.,positive
this film was a complete letdown. the screenwriter was awful and the plot was bad.,negative
worst film i have seen. terrible story by the director. do not bother watching.,negative
outstanding film. the cinematography was perfect and the pacing was incredible. highly recommend.,positive
this movie exceeded my expectations. the actor was outstanding and the pacing was captivating.,positive
this movie was dull. i hated the dialogue and cinematography. the screenwriter was tedious.,negative
wonderful film with amazing character development. the actor and screenplay were brilliant.,positive
i loved this movie. the screenplay was great. the director gave a remarkable performance.,positive
i regret watching this film. the story was awful. total disappointment.,negative
i loved this film. the plot was magnificent. the actress gave a beautiful performance.,positive
i loved this film. the soundtrack was spectacular. the cinematographer gave a incredible performance.,positive
wonderful movie with amazing acting. the actress and story were wonderful.,positive
worst movie i have seen. terrible visual effects by the screenwriter. one of the worst i have seen.,negative
great film with amazing character development. the actress did a flawless job. will watch again.,positive
this film was outstanding. i appreciated the music and soundtrack. the cinematographer was captivating.,positive
waste of time. the music and soundtrack were horrible. the actress did a weak job.,negative
horrible film with awful editing. the actress and music were appalling.,negative
great film with wonderful story. the screenwriter did a extraordinary job. one of the best this year.,positive
this movie was wonderful. i admired the character development and pacing. the actress was captivating.,positive
great movie with great pacing. the actress did a incredible job. one of the best this year.,positive
this film was poor. i hated the character development and pacing. the actress was pathetic.,negative
i recommend this film. the cinematography was magnificent and the screenplay was flawless.,positive
horrible film with awful acting. the actor and plot were horrible.,negative
dreadful film. the dialogue was dull and the cinematography was disappointing. avoid it.,negative
outstanding movie. the character development was brilliant and the soundtrack was terrific. highly recommend.,positive
wonderful movie with amazing editing. the actor and dialogue were magnificent.,positive
worst film i have seen. terrible editing by the director. one of the worst i have seen.,negative
horrible movie with awful pacing. the screenwriter and visual effects were dull.,negative
terrible film. the acting and visual effects were pathetic. i hated the editing.,negative
this movie exceeded my expectations. the screenwriter was impressive and the pacing was captivating.,positive
i regret watching this movie. the dialogue was terrible. total disappointment.,negative
i loved this film. the cinematography was great. the screenwriter gave a incredible performance.,positive
i disliked this movie. the screenplay was poor and the soundtrack was bad.,negative
waste of time. the story and visual effects were appalling. the actress did a pathetic job.,negative
waste of time. the acting and screenplay were dreadful. the actress did a atrocious job.,negative
this film was perfect. i appreciated the music and screenplay. the cinematographer was beautiful.,positive
i regret watching this movie. the pacing was dreadful. total disappointment.,negative
best movie i have seen. excellent screenplay by the actress. will watch again.,positive
this movie exceeded my expectations. the director was spectacular and the pacing was incredible.,positive
this movie exceeded my expectations. the actress was impressive and the cinematography was beautiful.,positive
i loved this film. the dialogue was great. the actor gave a captivating performance.,positive
horrible film with awful soundtrack. the cinematographer and character development were horrible.,negative
this movie was dreadful. i disliked the screenplay and music. the cinematographer was mediocre.,negative
this movie exceeded my expectations. the cinematographer was fantastic and the acting was terrific.,positive
this film was dreadful. i loathed the editing and story. the actress was disappointing.,negative
great film with outstanding cinematography. the actress did a beautiful job. will watch again.,positive
great movie with magnificent visual effects. the screenwriter did a flawless job. one of the best this year.,positive
this movie was great. i enjoyed the cinematography and music. the actress was flawless. recommend.,positive
i recommend this movie. the music was fantastic and the acting was incredible.,positive
dreadful film. the visual effects and pacing were tedious. i hated the story.,negative
best film i have seen. excellent screenplay by the actress. will watch again.,positive
i recommend this movie. the story was perfect and the acting was incredible.,positive
horrible film. the soundtrack and visual effects were weak. i hated the plot.,negative
great movie. the screenplay and editing were extraordinary. i loved the pacing.,positive
great movie with great screenplay. the director did a extraordinary job. must watch.,positive
great film with superb pacing. the actor did a extraordinary job. highly recommend.,positive
this movie was horrible. i hated the acting and visual effects. the director was tedious.,negative
this movie was appalling. i disliked the plot and acting. the screenwriter was mediocre.,negative
this movie exceeded my expectations. the director was amazing and the acting was incredible.,positive
this movie was horrible. i disliked the pacing and acting. the cinematographer was disappointing.,negative
i recommend this film. the screenplay was brilliant and the cinematography was incredible.,positive
worst movie i have seen. terrible plot by the actor. do not bother watching.,negative
dreadful movie. the music was dull and the pacing was mediocre. avoid it.,negative
this movie was awful. i detested the acting and editing. the director was pathetic.,negative
this film was a complete letdown. the director was appalling and the visual effects was disappointing.,negative
i regret watching this movie. the visual effects was boring. total disappointment.,negative
horrible movie with awful cinematography. the actress and story were horrible.,negative
i loved this film. the character development was impressive. the actress gave a brilliant performance.,positive
i despised this movie. the soundtrack was awful and the character development was weak.,negative
this movie was dreadful. i loathed the visual effects and screenplay. the actress was pathetic.,negative
this film exceeded my expectations. the director was perfect and the music was terrific.,positive
worst film i have seen. terrible visual effects by the screenwriter. very disappointing.,negative
i recommend this film. the soundtrack was magnificent and the dialogue was beautiful.,positive
i loved this film. the music was wonderful. the director gave a brilliant performance.,positive
great film with wonderful acting. the cinematographer did a incredible job. one of the best this year.,positive
this film was boring. i despised the cinematography and character development. the actor was abysmal.,negative
outstanding film. the cinematography was brilliant and the plot was captivating. highly recommend.,positive
this film exceeded my expectations. the screenwriter was amazing and the soundtrack was incredible.,positive
dreadful movie. the acting was poor and the pacing was disappointing. avoid it.,negative
